diet,education,ethnicity,religion,speaks
anything,graduated from college/university,white,christianity,english (fluently)
anything,graduated from college/university,white,buddhism,english
anything,graduated from college/university,white,other,english
anything,graduated from college/university,"hispanic / latin, white",agnosticism,"english (fluently), spanish (okay)"
other,graduated from masters program,white,buddhism,english
other,graduated from college/university,white,judaism,english (fluently)
anything,graduated from college/university,white,catholicism,english
anything,graduated from high school,pacific islander,catholicism,english
vegetarian,graduated from college/university,white,atheism,"english (fluently), french (okay), spanish (poorly)"
anything,graduated from masters program,white,other,english (okay)
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,agnosticism,"english (fluently), german (okay)"
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (okay)"
vegetarian,graduated from college/university,asian,christianity,"english (fluently), chinese (fluently), japanese (okay)"
anything,graduated from college/university,white,atheism,english (okay)
anything,graduated from college/university,white,catholicism,"english, spanish (poorly), russian (okay)"
anything,graduated from college/university,white,judaism,english (fluently)
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,other,english (fluently)
anything,graduated from high school,"hispanic / latin, white, other",buddhism,"english (fluently), spanish (fluently), french (okay)"
anything,graduated from college/university,"asian, pacific islander",catholicism,"english (fluently), tagalog (okay)"
anything,graduated from college/university,white,atheism,"english (fluently), french (okay)"
vegetarian,graduated from college/university,white,other,"english (fluently), japanese (okay)"
vegetarian,graduated from high school,white,agnosticism,"english (fluently), spanish (poorly), sign language (poorly)"
vegetarian,graduated from college/university,hispanic / latin,buddhism,"english (fluently), spanish (fluently)"
anything,graduated from college/university,white,other,"english, spanish"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from masters program,white,catholicism,english
anything,graduated from high school,white,catholicism,english
anything,graduated from college/university,black,other,english (fluently)
anything,graduated from college/university,white,atheism,"english (okay), italian (fluently)"
vegetarian,graduated from college/university,white,other,"english, japanese"
anything,graduated from college/university,"asian, white",catholicism,english
anything,graduated from college/university,black,christianity,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,atheism,"english (fluently), french (fluently)"
anything,graduated from high school,hispanic / latin,catholicism,english (fluently)
anything,graduated from high school,white,agnosticism,english
anything,graduated from masters program,asian,atheism,"english (fluently), chinese (okay), c++ (poorly)"
anything,graduated from masters program,"hispanic / latin, white",other,"english (fluently), spanish (fluently)"
anything,graduated from college/university,pacific islander,christianity,"english (fluently), spanish (fluently), hawaiian (fluently)"
anything,graduated from masters program,white,other,english
vegetarian,graduated from college/university,white,christianity,english
anything,graduated from college/university,white,atheism,"english (fluently), spanish (poorly)"
anything,graduated from high school,black,other,english (fluently)
anything,graduated from high school,white,judaism,english (fluently)
anything,graduated from high school,white,atheism,english (fluently)
anything,graduated from college/university,white,agnosticism,english
vegetarian,graduated from college/university,"pacific islander, hispanic / latin",catholicism,"english (fluently), spanish (okay), tagalog (poorly)"
anything,graduated from high school,white,catholicism,"english (fluently), croatian (okay)"
anything,graduated from high school,white,other,"english (fluently), german (okay)"
anything,graduated from high school,pacific islander,catholicism,"english (fluently), spanish (okay), tagalog (poorly)"
anything,graduated from college/university,white,christianity,"english, spanish (poorly), french (poorly)"
kosher,graduated from high school,black,christianity,"english (fluently), spanish (poorly), portuguese (poorly)"
anything,graduated from college/university,white,christianity,english (fluently)
vegan,graduated from college/university,"native american, white",other,"english, spanish (poorly)"
vegetarian,graduated from high school,white,other,english
anything,graduated from college/university,white,agnosticism,english
anything,graduated from high school,hispanic / latin,catholicism,"english (fluently), spanish (fluently)"
anything,graduated from college/university,white,christianity,english
vegetarian,graduated from college/university,white,other,"english, french (poorly)"
vegetarian,graduated from ph.d program,white,other,english
anything,graduated from college/university,white,atheism,english (fluently)
anything,graduated from ph.d program,white,agnosticism,english
anything,graduated from high school,asian,other,"english (fluently), chinese (okay), japanese (poorly)"
anything,graduated from college/university,white,agnosticism,"english (fluently), french (fluently), spanish (poorly)"
anything,graduated from college/university,asian,agnosticism,"english (fluently), chinese (poorly), c++ (okay)"
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,christianity,english
anything,graduated from college/university,white,christianity,english
anything,graduated from college/university,white,atheism,"english, c++ (poorly)"
anything,graduated from college/university,white,atheism,"english, french (poorly)"
anything,graduated from college/university,white,other,english
anything,graduated from college/university,white,judaism,"english (fluently), russian (fluently), french (poorly)"
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from masters program,"middle eastern, white",atheism,"english (fluently), c++ (okay), french (okay), lisp (fluently)"
anything,graduated from college/university,white,agnosticism,english (fluently)
vegetarian,graduated from college/university,white,atheism,"english (fluently), french (poorly), spanish (poorly)"
anything,graduated from high school,black,agnosticism,english
vegetarian,graduated from masters program,white,agnosticism,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,atheism,english
anything,graduated from masters program,white,other,english (poorly)
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,christianity,english
anything,graduated from high school,"asian, black",christianity,english
anything,graduated from high school,white,other,"english (fluently), spanish (poorly)"
anything,graduated from masters program,"hispanic / latin, white",catholicism,"english, spanish, german, french, serbian"
other,graduated from masters program,white,judaism,"english (fluently), french (okay)"
vegan,graduated from college/university,hispanic / latin,atheism,"english (fluently), spanish (okay)"
anything,graduated from masters program,white,atheism,"english (fluently), french (poorly)"
anything,graduated from masters program,"white, other",atheism,"english (fluently), c++ (fluently), lisp (okay), spanish (poorly), japanese (poorly)"
vegetarian,graduated from high school,white,agnosticism,english
anything,graduated from high school,white,atheism,"english (fluently), german (okay), c++ (poorly)"
anything,graduated from college/university,white,atheism,"english (fluently), german (okay), spanish (poorly)"
anything,graduated from college/university,asian,atheism,"english (fluently), korean (okay), spanish (poorly)"
anything,graduated from college/university,other,atheism,english (poorly)
anything,graduated from college/university,asian,agnosticism,"english (fluently), korean (poorly)"
vegetarian,graduated from high school,white,atheism,english
vegetarian,graduated from high school,white,other,english (fluently)
anything,graduated from college/university,white,atheism,"english (fluently), c++ (fluently), french (poorly)"
anything,graduated from masters program,white,catholicism,"english (fluently), french (fluently), croatian (poorly), serbian (poorly)"
anything,graduated from college/university,white,judaism,"english, spanish (poorly)"
anything,graduated from college/university,white,agnosticism,"english (fluently), portuguese (poorly), spanish (poorly)"
vegetarian,graduated from college/university,"hispanic / latin, white",atheism,"english, spanish (fluently), french (okay)"
anything,graduated from masters program,white,agnosticism,"english, spanish (okay)"
anything,graduated from college/university,white,catholicism,english (fluently)
other,graduated from college/university,black,christianity,"english (fluently), spanish (okay), german (poorly)"
anything,graduated from college/university,white,judaism,english (fluently)
anything,graduated from high school,asian,atheism,english (fluently)
anything,graduated from college/university,white,other,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,judaism,"english (fluently), spanish (poorly)"
anything,graduated from masters program,"black, native american, white",agnosticism,"english (fluently), spanish (okay), french (poorly)"
anything,graduated from college/university,asian,atheism,"english, lisp, chinese (poorly)"
vegetarian,graduated from college/university,"hispanic / latin, white",agnosticism,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,atheism,english (fluently)
anything,graduated from college/university,other,agnosticism,"english (fluently), spanish (fluently)"
vegetarian,graduated from masters program,white,christianity,"english (fluently), russian (fluently), ukrainian (fluently)"
anything,graduated from ph.d program,white,agnosticism,"english (fluently), swedish (poorly)"
anything,graduated from masters program,white,christianity,english
anything,graduated from college/university,white,judaism,english
anything,graduated from high school,"hispanic / latin, white",catholicism,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,agnosticism,"english (fluently), french (poorly)"
vegetarian,graduated from college/university,white,other,english (fluently)
vegetarian,graduated from college/university,white,judaism,"english (fluently), spanish (okay)"
anything,graduated from college/university,white,judaism,"english (fluently), french (fluently), italian (poorly), spanish (poorly)"
anything,graduated from college/university,white,other,"english (fluently), spanish (okay)"
anything,graduated from college/university,asian,christianity,english
anything,graduated from college/university,white,catholicism,"english (fluently), japanese (poorly)"
vegetarian,graduated from high school,"native american, white",agnosticism,english (fluently)
anything,graduated from masters program,asian,other,"english, chinese"
anything,graduated from college/university,white,other,"english (fluently), german (poorly), c++ (okay)"
anything,graduated from college/university,hispanic / latin,catholicism,"english (fluently), spanish (fluently), german (okay), c++ (okay)"
anything,graduated from college/university,other,christianity,english
anything,graduated from high school,white,atheism,"english (fluently), french (poorly), c++ (poorly), other (fluently)"
anything,graduated from college/university,asian,other,"english (fluently), chinese (fluently)"
anything,graduated from masters program,white,agnosticism,"english (fluently), spanish (poorly), german (poorly)"
anything,graduated from college/university,asian,atheism,english (fluently)
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,christianity,english
anything,graduated from college/university,middle eastern,islam,english (fluently)
vegetarian,graduated from high school,white,buddhism,"english (fluently), german (okay)"
vegetarian,graduated from high school,hispanic / latin,agnosticism,english (fluently)
anything,graduated from masters program,white,atheism,"english (fluently), french (poorly), icelandic (poorly)"
anything,graduated from college/university,white,other,"english (fluently), spanish (poorly)"
anything,graduated from high school,white,atheism,english
anything,graduated from masters program,white,other,english
anything,graduated from college/university,asian,atheism,"english (fluently), vietnamese (okay), c++ (okay), spanish (poorly)"
anything,graduated from high school,"hispanic / latin, white, other",agnosticism,"english (fluently), spanish (poorly), sign language (poorly)"
anything,graduated from high school,"hispanic / latin, white",agnosticism,"english (okay), sanskrit (fluently), c++ (poorly)"
anything,graduated from high school,white,agnosticism,english
anything,graduated from college/university,white,agnosticism,"english, japanese (poorly)"
anything,graduated from college/university,asian,atheism,"english (fluently), chinese (fluently)"
anything,graduated from college/university,other,buddhism,"english (fluently), thai (fluently), hindi (poorly)"
vegetarian,graduated from college/university,hispanic / latin,catholicism,"english (fluently), spanish (fluently)"
vegetarian,graduated from masters program,indian,hinduism,"english (fluently), hindi (fluently)"
anything,graduated from high school,hispanic / latin,other,"english (fluently), portuguese (fluently), spanish (okay)"
anything,graduated from masters program,asian,christianity,"english (fluently), chinese (poorly), spanish (poorly)"
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (poorly), c++ (fluently)"
anything,graduated from college/university,"black, other",christianity,"english (fluently), other (poorly), russian (poorly)"
anything,graduated from college/university,white,atheism,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,other,english
anything,graduated from college/university,white,catholicism,"english (fluently), french (okay)"
anything,graduated from college/university,white,agnosticism,"english (fluently), japanese (okay)"
anything,graduated from college/university,white,agnosticism,"english (fluently), spanish (okay), french (poorly), chinese (poorly), latin (okay)"
other,graduated from college/university,white,christianity,"english (fluently), french (okay)"
anything,graduated from college/university,white,agnosticism,english (fluently)
anything,graduated from college/university,white,atheism,english (fluently)
other,graduated from high school,white,christianity,english (fluently)
anything,graduated from masters program,"white, other",judaism,"english (fluently), hebrew (poorly), spanish (poorly)"
vegetarian,graduated from college/university,white,judaism,english
vegan,graduated from high school,white,atheism,english (fluently)
vegan,graduated from college/university,white,atheism,english
anything,graduated from college/university,white,judaism,"english, french (poorly), spanish (poorly)"
anything,graduated from ph.d program,white,agnosticism,english
anything,graduated from college/university,white,christianity,english
anything,graduated from high school,white,atheism,english (fluently)
anything,graduated from high school,white,buddhism,"english (fluently), c++ (fluently)"
anything,graduated from college/university,"asian, white",atheism,english
anything,graduated from college/university,asian,other,english
anything,graduated from college/university,asian,buddhism,"english (fluently), chinese (fluently)"
anything,graduated from college/university,white,other,"english (fluently), spanish (okay)"
anything,graduated from college/university,black,christianity,"english (fluently), spanish (poorly)"
anything,graduated from college/university,white,catholicism,english
anything,graduated from college/university,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other",atheism,english (fluently)
anything,graduated from college/university,white,judaism,"english (fluently), hebrew (okay)"
anything,graduated from college/university,white,agnosticism,"english (okay), french (okay)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from college/university,white,catholicism,english
anything,graduated from college/university,white,catholicism,"english (fluently), spanish (okay)"
anything,graduated from high school,white,other,english (fluently)
anything,graduated from high school,asian,buddhism,english
vegetarian,graduated from college/university,white,buddhism,english
vegan,graduated from high school,other,atheism,"english (fluently), french (okay), arabic (okay)"
anything,graduated from masters program,white,agnosticism,"english (fluently), french (fluently), spanish (fluently), italian (okay), breton (poorly)"
other,graduated from college/university,asian,other,"english (fluently), chinese (fluently), c++ (okay), thai (okay), ancient greek (poorly)"
anything,graduated from masters program,white,other,"english (fluently), spanish (okay), portuguese (poorly)"
anything,graduated from college/university,white,buddhism,english (fluently)
anything,graduated from college/university,white,agnosticism,english
anything,graduated from high school,white,other,english (fluently)
other,graduated from college/university,"hispanic / latin, white",agnosticism,"english (fluently), latin (okay), c++ (okay), arabic (poorly), french (poorly)"
anything,graduated from college/university,white,atheism,english
anything,graduated from college/university,other,other,"english, spanish (poorly)"
anything,graduated from masters program,white,christianity,"english (fluently), spanish (poorly)"
vegetarian,graduated from college/university,white,judaism,"english, french (fluently), spanish (poorly)"
anything,graduated from college/university,white,agnosticism,english
anything,graduated from masters program,indian,agnosticism,english (fluently)
anything,graduated from college/university,"asian, indian",hinduism,"english (fluently), hindi (fluently), other (fluently)"
anything,graduated from college/university,"middle eastern, white",judaism,english (poorly)
